Holding,Symbol,Weighting
"Idemitsu Kosan Co., Ltd.",5019,0.03%
Ebara Corporation,6361,0.03%
Swatch Group Ltd. Bearer,UHR,0.03%
Absa Group Limited,ABG,0.03%
IMCD N.V.,IMCD,0.03%
Aker BP ASA,AKRBP,0.03%
ACWA Power,2082,0.03%
ageas SA/NV,AGS,0.03%
Smiths Group Plc,SMIN,0.03%
Yageo Corporation,2327,0.03%
"LARGAN Precision Co., Ltd.",3008,0.03%
Hydro One Limited,H,0.03%
"Dai Nippon Printing Co., Ltd.",7912,0.03%
Antofagasta plc,ANTO,0.03%
Eurofins Scientific SE,ERF,0.03%
"ONO Pharmaceutical Co., Ltd.",4528,0.03%
George Weston Limited,WN,0.03%
Bank of Ireland Group Plc,BIRG,0.03%
Leonardo SpA,LDO,0.03%
Croda International Plc,CRDA,0.03%
ASX Limited,ASX,0.03%
Realtek Semiconductor Corp,2379,0.03%
Isuzu Motors Limited,7202,0.03%
Apollo Hospitals Enterprise Limited,508869,0.03%
Fresenius Medical Care AG,FME,0.03%
"SinoPac Financial Holdings Co., Ltd.",2890,0.03%
"Kansai Electric Power Company, Incorporated",9503,0.03%
MTN Group Limited,MTN,0.03%
Accton Technology Corp.,2345,0.03%
Svenska Cellulosa AB SCA Class B,SCA.B,0.03%
KT & G Corporation,033780,0.03%
United Microelectronics Corp.,2303,0.03%
South32 Ltd.,S32,0.03%
Swiss Prime Site AG,SPSN,0.03%
BT Group plc,BT.A,0.03%
HDFC Life Insurance Co. Ltd.,540777,0.03%
"Taiwan Cooperative Financial Holding Co., Ltd.",5880,0.03%
Jardine Matheson Holdings Limited,J36,0.03%
LG Electronics Inc.,066570,0.03%
"Toray Industries, Inc.",3402,0.03%
Bharat Petroleum Corporation Limited,500547,0.03%
"Hang Seng Bank, Limited",11,0.03%
Bouygues SA,EN,0.03%
"Shinhan Financial Group Co., Ltd.",055550,0.03%
Power Assets Holdings Limited,6,0.03%
Dr. Sulaiman Al-Habib Medical Services Group Co.,4013,0.03%
Power Finance Corporation Limited,532810,0.03%
"Haier Smart Home Co., Ltd. Class H",6690,0.03%
