Holding,Symbol,Weighting
PCCW Limited,8,0.01%
Far East Horizon Limited,3360,0.01%
Foschini Group Limited,TFG,0.01%
China Feihe Limited,6186,0.01%
Lion Corporation,4912,0.01%
MYTILINEOS S.A.,MYTIL,0.01%
HD HYUNDAI HEAVY INDUSTRIES CO. LTD.,329180,0.01%
Air Arabia PJSC,AIRARABIA,0.01%
TOTO Ltd,5332,0.01%
Enagas SA,ENG,0.01%
LG Uplus Corp,032640,0.01%
"Chang Hwa Commercial Bank, Ltd.",2801,0.01%
Nihon Kohden Corporation,6849,0.01%
Haci Omer Sabanci Holding A.S.,SAHOL.E,0.01%
"Foshan Haitian Flavouring & Food Co., Ltd. Class A",603288,0.01%
Canara Bank,532483,0.01%
Teijin Limited,3401,0.01%
"Bumrungrad Hospital Public Co., Ltd.",BH,0.01%
"Seino Holdings Co., Ltd.",9076,0.01%
Medipal Holdings Corporation,7459,0.01%
Ansell Limited,ANN,0.01%
Latour AB Investment Class B,LATO.B,0.01%
Qube Holdings Ltd.,QUB,0.01%
Bosch Limited,500530,0.01%
"TSURUHA Holdings, Inc.",3391,0.01%
Bezeq The Israel Telecommunication Corp. Ltd.,BEZQ,0.01%
"Alps Alpine Co., Ltd.",6770,0.01%
Inner Mongolia Yitai Coal Company Limited Class B,900948,0.01%
Northam Platinum Holdings Limited,NPH,0.01%
"Pro Medicus, Ltd.",PME,0.01%
Exxaro Resources Limited,EXX,0.01%
AARTI Industries Ltd,524208,0.01%
"Sugi Holdings Co., Ltd.",7649,0.01%
China Railway Group Limited Class H,390,0.01%
Synnex Technology International Corp.,2347,0.01%
Jubilant Foodworks Limited,533155,0.01%
Evonik Industries AG,EVK,0.01%
"Dowa Holdings Co., Ltd.",5714,0.01%
Savola Group,2050,0.01%
Deepak Nitrite Limited,506401,0.01%
Ryman Healthcare Ltd.,RYM,0.01%
"Mercari, Inc.",4385,0.01%
Cosan S.A.,CSAN3,0.01%
UBE Corporation,4208,0.01%
Kuala Lumpur Kepong Bhd.,2445,0.01%
Sendas Distribuidora SA,ASAI3,0.01%
International Consolidated Airlines Group SA,IAG,0.01%
"Alfa, S.A.B. de C.V. Class A",ALFAA,0.01%
Telecom Italia S.p.A.,TIT,0.01%
City Developments Limited,C09,0.01%
"Rohto Pharmaceutical Co., Ltd.",4527,0.01%
Fletcher Building Limited,FBU,0.01%
Industrivarden AB Class A,INDU.A,0.01%
Zydus Lifesciences Limited,532321,0.01%
Vanguard International Semiconductor Corp,5347,0.01%
Turkcell Iletisim Hizmetleri A.S.,TCELL.E,0.01%
YTL Corp Bhd.,4677,0.01%
Raiffeisen Bank International AG,RBI,0.01%
Mabanee Company (SAKC),MABANEE,0.01%
Macrotech Developers Ltd.,543287,0.01%
Volvo Car AB Class B,VOLCAR.B,0.01%
Exide Industries Limited,500086,0.01%
"Park24 Co., Ltd.",4666,0.01%
"Nankai Electric Railway Co., Ltd.",9044,0.01%
Var Energi ASA,VAR,0.01%
"Stanley Electric Co., Ltd.",6923,0.01%
"EXEO Group, Inc.",1951,0.01%
"TOHO GAS Co., Ltd.",9533,0.01%
PT Merdeka Copper Gold Tbk,MDKA,0.01%
"LG H&H Co., Ltd.",051900,0.01%
Japan Prime Realty Investment Corporation,8955,0.01%
Godrej Properties Limited,533150,0.01%
Torrent Pharmaceuticals Ltd,500420,0.01%
"BNK Financial Group, Inc.",138930,0.01%
Nifco Inc.,7988,0.01%
"Mitsui Fudosan Logistics Park, Inc.",3471,0.01%
"Toyoda Gosei Co., Ltd.",7282,0.01%
Coca-Cola Bottlers Japan Holdings Inc.,2579,0.01%
PT Sumber Alfaria Trijaya,AMRT,0.01%
Clariant AG,CLN,0.01%
Gulf Bank K.S.C.,GBK,0.01%
JTEKT Corporation,6473,0.01%
"Inner Mongolia Yili Industrial Group Co., Ltd. Class A",600887,0.01%
JDE Peet\'s NV,JDEP,0.01%
INFRONEER Holdings Inc.,5076,0.01%
PI Industries Limited,523642,0.01%
IHI Corporation,7013,0.01%
Steel Authority of India Limited,500113,0.01%
"Koei Tecmo Holdings Co., Ltd.",3635,0.01%
"Jiangsu Yanghe Brewery Joint-Stock Co., Ltd. Class A",002304,0.01%
"Taiwan Fertilizer Co., Ltd.",1722,0.01%
Max Financial Services Limited,500271,0.01%
SATS Ltd,S58,0.01%
"Shandong Gold Mining Co., Ltd. Class A",600547,0.01%
Anhui Conch Cement Company Limited Class H,914,0.01%
Internet Initiative Japan Inc.,3774,0.01%
Mercury NZ Ltd.,MCY,0.01%
Alibaba Health Information Technology Ltd.,241,0.01%
Universal Robina Corp.,URC,0.01%
"Hikari Tsushin, Inc.",9435,0.01%
AAC Technologies Holdings Inc.,2018,0.01%
"Kuraray Co., Ltd.",3405,0.01%
Malaysia Airports Holdings Bhd.,5014,0.01%
China Coal Energy Co. Ltd. Class H,1898,0.01%
HIWIN Technologies Corp.,2049,0.01%
"Hengan International Group Co., Ltd.",1044,0.01%
"Rengo Co., Ltd.",3941,0.01%
Yangzijiang Shipbuilding (Holdings) Ltd.,BS6,0.01%
Keppel DC REIT,AJBU,0.01%
Genting Malaysia Bhd.,4715,0.01%
China State Construction Engineering Corp. Ltd. Class A,601668,0.01%
Allfunds Group plc,ALLFG,0.01%
"Koito Manufacturing Co., Ltd.",7276,0.01%
Embraer S.A.,EMBR3,0.01%
"Penta-Ocean Construction Co., Ltd.",1893,0.01%
Walsin Lihwa Corporation,1605,0.01%
Adani Total Gas Ltd.,542066,0.01%
"NIPPON EXPRESS HOLDINGS,INC.",9147,0.01%
Cleanaway Waste Management Ltd.,CWY,0.01%
"BYD Electronic (International) Co., Ltd.",285,0.01%
Beijing Enterprises Holdings Limited,392,0.01%
NetLink NBN Trust,CJLU,0.01%
Sino Land Co. Ltd.,83,0.01%
"Kyushu Electric Power Company,Incorporated",9508,0.01%
"Tohoku Electric Power Company, Incorporated",9506,0.01%
Win Semiconductors Corp.,3105,0.01%
Genscript Biotech Corporation,1548,0.01%
Tokyu Fudosan Holdings Corp.,3289,0.01%
Sona BLW Precision Forgings Ltd.,543300,0.01%
Formosa Petrochemical Corp,6505,0.01%
Buzzi Spa,BZU,0.01%
Turkiye Sise ve Cam Fabrikalari A.S.,SISE.E,0.01%
Signify NV,LIGHT,0.01%
Emmi AG,EMMN,0.01%
Boubyan Bank K.S.C.,BOUBYAN,0.01%
Vodacom Group Limited,VOD,0.01%
Qualitas Controladora S.A.B. de C.V.,Q,0.01%
Gujarat Fluorochemicals Ltd.,542812,0.01%
"Taiyo Yuden Co., Ltd.",6976,0.01%
"Kobayashi Pharmaceutical Co., Ltd.",4967,0.01%
CRRC Corporation Limited Class H,1766,0.01%
Hera S.p.A.,HER,0.01%
Banco del Bajio SA,BBAJIOO,0.01%
Container Corporation of India Limited,531344,0.01%
Reinet Investments S.C.A.,RNI,0.01%
NOK Corporation,7240,0.01%
"Korea Zinc Co., Ltd.",010130,0.01%
China Hongqiao Group Ltd.,1378,0.01%
"Sk Ie Technology Co., Ltd.",361610,0.01%
Banco Bradesco S.A.,BBDC3,0.01%
"LONGi Green Energy Technology Co., Ltd. Class A",601012,0.01%
Qatar International Islamic Bank,QIIK,0.01%
Impala Platinum Holdings Limited,IMP,0.01%
Nikon Corp.,7731,0.01%
"Keihan Holdings Co.,Ltd.",9045,0.01%
Zee Entertainment Enterprises Limited,505537,0.01%
Mankind Pharma Ltd.,543904,0.01%
Interconexion Electrica SA ESP,ISA,0.01%
Asmedia Technology Inc.,5269,0.01%
Mitsubishi Materials Corp.,5711,0.01%
Banca Mediolanum SpA,BMED,0.01%
"Sotetsu Holdings, Inc.",9003,0.01%
Kumba Iron Ore Limited,KIO,0.01%
"Samsung Heavy Industries Co., Ltd",010140,0.01%
"Kobe Bussan Co., Ltd.",3038,0.01%
One 97 Communications Ltd.,543396,0.01%
Sanwa Holdings Corporation,5929,0.01%
DB INSURANCE CO. LTD,005830,0.01%
HelloFresh SE,HFG,0.01%
Saudi Research and Media Group,4210,0.01%
"NHK Spring Co., Ltd.",5991,0.01%
AGL Energy Limited,AGL,0.01%
St. James\'s Place Plc,STJ,0.01%
"Nippon Electric Glass Co., Ltd.",5214,0.01%
"Kangwon Land, Inc.",035250,0.01%
Covivio SA,COV,0.01%
United Urban Investment Corporation,8960,0.01%
"Kyushu Financial Group, Inc.",7180,0.01%
Swire Pacific Limited Class A,19,0.01%
Dialog Group Bhd.,7277,0.01%
"Hisamitsu Pharmaceutical Co., Inc.",4530,0.01%
Sankyu Inc.,9065,0.01%
Electrolux AB Class B,ELUX.B,0.01%
"Japan Airport Terminal Co., Ltd.",9706,0.01%
Abdullah Al Othaim Markets Co.,4001,0.01%
Toho Co. Ltd.,9602,0.01%
Haidilao International Holding Ltd.,6862,0.01%
Grupo Aeroportuario del Centro Norte SAB de CV Class B,OMAB,0.01%
"Anhui Gujing Distillery Co., Ltd. Class B",200596,0.01%
Tingyi (Cayman Islands) Holding Corp.,322,0.01%
"Chugoku Electric Power Co., Inc.",9504,0.01%
Hyundai Steel Company,004020,0.01%
Page Industries Limited,532827,0.01%
Star Health & Allied Insurance Co. Ltd.,543412,0.01%
Voltas Limited,500575,0.01%
"Electric Power Development Co., Ltd.",9513,0.01%
"Haier Smart Home Co., Ltd. Class A",600690,0.01%
Bandhan Bank Ltd.,541153,0.01%
"Cosmo AM&T Co., Ltd.",005070,0.01%
Royal Unibrew A/S,RBREW,0.01%
Empresas CMPC S.A.,CMPC,0.01%
Saudi Industrial Investment Group,2250,0.01%
NSK Ltd.,6471,0.01%
Ipsen SA,IPN,0.01%
Cencosud S.A.,CENCOSUD,0.01%
Seatrium Limited,S51,0.01%
NCsoft Corporation,036570,0.01%
Ashok Leyland Limited,500477,0.01%
Indian Railway Finance Corp. Ltd.,543257,0.01%
"Industrial Bank Co., Ltd. Class A",601166,0.01%
Union Bank of India Limited,532477,0.01%
Salik Company PJSC,SALIK,0.01%
"WuXi AppTec Co., Ltd. Class H",2359,0.01%
Doosan Bobcat Inc.,241560,0.01%
PT Barito Pacific Tbk,BRPT,0.01%
Downer EDI Limited,DOW,0.01%
Migros Ticaret A.S.,MGROS.E,0.01%
"CALBEE, Inc.",2229,0.01%
"Daido Steel Co., Ltd.",5471,0.01%
"Shinko Electric Industries Co., Ltd.",6967,0.01%
"CGN Power Co., Ltd. Class H",1816,0.01%
Phoenix Holdings Ltd.,PHOE,0.01%
Chicony Electronics Co. Ltd.,2385,0.01%
Oil India Limited,533106,0.01%
ADNOC Drilling Company PJSC,ADNOCDRILL,0.01%
Alfresa Holdings Corporation,2784,0.01%
"Mitsui Mining and Smelting Company, Limited",5706,0.01%
COSMOS Pharmaceutical Corporation,3349,0.01%
Amundi SA,AMUN,0.01%
Solvay SA,SOLB,0.01%
"Zijin Mining Group Co., Ltd. Class A",601899,0.01%
Yapi ve Kredi Bankasi A.S.,YKBNK.E,0.01%
RATIONAL AG,RAA,0.01%
"China Galaxy Securities Co., Ltd. Class H",6881,0.01%
Telekom Malaysia Bhd.,4863,0.01%
Dixon Technologies (India) Ltd.,540699,0.01%
"Grifols, S.A. Class A",GRF,0.01%
RBL Bank Ltd.,540065,0.01%
Pou Chen Corporation,9904,0.01%
ABB India Limited,500002,0.01%
ROCKWOOL A/S Class B,ROCK.B,0.01%
Daiwa House REIT Investment Corporation,8984,0.01%
"Yamato Kogyo Co., Ltd.",5444,0.01%
IJM Corporation Berhad,3336,0.01%
CATRION Catering Holding Company,6004,0.01%
Eva Airways Corporation,2618,0.01%
L\'Occitane International S.A.,973,0.01%
Sime Darby Bhd.,4197,0.01%
Comfortdelgro Corporation Limited,C52,0.01%
Companhia Paranaense de Energia,CPLE3,0.01%
Hikma Pharmaceuticals Plc,HIK,0.01%
EBOS Group Limited,EBO,0.01%
Woolworths Holdings Limited,WHL,0.01%
Giant Biogene Holding Co. Ltd.,2367,0.01%
"Activia Properties, Inc.",3279,0.01%
Guangdong Investment Limited,270,0.01%
Enlight Renewable Energy Ltd,ENLT,0.01%
Punjab National Bank,532461,0.01%
Adevinta ASA,ADE,0.01%
Kyushu Railway Company,9142,0.01%
Rede D\'Or Sao Luiz SA,RDOR3,0.01%
AUO Corporation,2409,0.01%
"Skylark Holdings Co., Ltd.",3197,0.01%
Wan Hai Lines Ltd.,2615,0.01%
Almarai Company,2280,0.01%
"Sanrio Company, Ltd.",8136,0.01%
Q Holding PSC,QHOLDING,0.01%
PT Indofood CBP Sukses Makmur Tbk,ICBP,0.01%
EDP Renovaveis SA,EDPR,0.01%
Remgro Limited,REM,0.01%
Keikyu Corporation,9006,0.01%
Interpump Group S.p.A.,IP,0.01%
Oberoi Realty Limited,533273,0.01%
KION GROUP AG,KGX,0.01%
ITV PLC,ITV,0.01%
Qatar Electricity & Water Co.,QEWS,0.01%
"Parade Technologies, Ltd.",4966,0.01%
Lendlease Group,LLC,0.01%
LIXIL Corporation,5938,0.01%
"Shenzhen Mindray Bio-Medical Electronics Co., Ltd. Class A",300760,0.01%
Endeavour Mining PLC,EDV,0.01%
Laurus Labs Ltd.,540222,0.01%
Mahindra & Mahindra Financial Services Ltd.,532720,0.01%
"Japan Airlines Co., Ltd.",9201,0.01%
Evolution Mining Limited,EVN,0.01%
"Santen Pharmaceutical Co., Ltd.",4536,0.01%
Saudi Kayan Petrochemical Co.,2350,0.01%
Hansoh Pharmaceutical Group Company Limited,3692,0.01%
JSW Energy Limited,533148,0.01%
First International Bank of Israel Ltd,FIBI,0.01%
"JD Health International, Inc.",6618,0.01%
"GlobalWafers Co., Ltd.",6488,0.01%
Steadfast Group Limited,SDF,0.01%
Mainfreight Limited,MFT,0.01%
Syngene International Ltd.,539268,0.01%
"Seibu Holdings, Inc.",9024,0.01%
Dabur India Limited,500096,0.01%
SEB SA TEMP,Other,0.01%
Air Liquide SA TEMP,Other,0.01%
Klabin SA Ctf de Deposito de Acoes Cons of 1 Sh + 4 Pfd Shs,KLBN11,0.01%
Energisa SA Units Cons of 1 Sh + 4 Pfd Shs,ENGI11,0.01%
Transmissora Alianca De Energia Eletrica S.A. Unit,TAEE11,0.01%
"Grupo Televisa, S.A.B.",TLEVISACPO,0.01%
Banco Santander (Brasil) S.A. Units Cons of 1 Sh + 1 Pfd Sh,SANB11,0.01%
FIXED INCOME (UNCLASSFIED),Other,0.0%
EQUITY OTHER,Other,0.0%
BTS Group Holdings Public Co. Ltd.(Alien Mkt),BTS.F,0.0%
Global Power Synergy Public Company Ltd (Alien Mkt),GPSC.F,0.0%
Thai Union Group Public Company Limited(Alien Mkt),TU.F,0.0%
Banpu Public Co. Ltd.(Alien Mkt),BANPU.F,0.0%
Carabao Group Public Company Ltd(Alien Mkt),CBG.F,0.0%
Bangkok Bank Public Company Limited (Alien Mkt),BBL.F,0.0%
"Bangkok Life Assurance Public Co., Ltd.(Alien Mkt)",BLA.F,0.0%
"Land & Houses Public Co., Ltd.(Alien Mkt)",LH.F,0.0%
"IRPC Public Co., Ltd.(Alien Mkt)",IRPC.F,0.0%
Thai Life Insurance Public Co. Ltd.(Alien Mkt),TLI.F,0.0%
Asset World Corporation Public Company Limited(Alien Mkt),AWC.F,0.0%
Digital Telecommunications Infrastructure Fund(Alien Mkt),DIF.F,0.0%
Oil company LUKOIL PJSC Sponsored ADR,LKOD,0.0%
Braskem S.A. Sponsored ADR Pfd Class A,BAK,0.0%
Tenaris S.A. Sponsored ADR,TS,0.0%
Sendas Distribuidora SA Sponsored ADR,ASAI,0.0%
Sberbank Russia PJSC Sponsored ADR,SBRCY,0.0%
TIM S.A. Sponsored ADR,TIMB,0.0%
TATNEFT PJSC Sponsored ADR,ATAD,0.0%
Grupo Aval Acciones y Valores SA Sponsored ADR Pfd,AVAL,0.0%
Surgutneftegas PJSC Sponsored ADR,SGGD,0.0%
Companhia Paranaense de Energia Sponsored ADR,ELP,0.0%
"Tuya, Inc. Sponsored ADR Class A",TUYA,0.0%
Ecopetrol SA Sponsored ADR,EC,0.0%
"ASE Technology Holding Co., Ltd. Sponsored ADR",ASX,0.0%
Dada Nexus Ltd. Sponsored ADR,DADA,0.0%
Weibo Corp. Sponsored ADR Class A,WB,0.0%
Telefonica Brasil SA Sponsored ADR,VIV,0.0%
Companhia Energetica de Minas Gerais SA Sponsored ADR Pfd,CIG,0.0%
Companhia Paranaense de Energia Sponsored ADR,ELPC,0.0%
Takeda Pharmaceutical Co. Ltd. Sponsored ADR,TAK,0.0%
Daqo New Energy Corp Sponsored ADR,DQ,0.0%
Mobile TeleSystems PJSC Sponsored ADR,MBT,0.0%
Companhia Siderurgica Nacional Sponsored ADR,SID,0.0%
Lufax Holding Ltd Sponsored ADR Class A,LU,0.0%
"JOYY, Inc. Sponsored ADR Class A",YY,0.0%
MMC Norilsk Nickel PJSC ADR,MNOD,0.0%
Enel Chile SA Sponsored ADR,ENIC,0.0%
U.S. Dollar,Other,0.0%
Rosneft Oil Co. Sponsored GDR RegS,ROSN,0.0%
VTB Bank PJSC Sponsored GDR RegS,VTBR,0.0%
Severstal PAO Sponsored GDR RegS,SVST,0.0%
"Krung Thai Bank Public Co., Ltd. NVDR",KTB.R,0.0%
Intouch Holdings Public Company Limited NVDR,INTUCH.R,0.0%
Central Pattana Public Co. Ltd. NVDR,CPN.R,0.0%
"Land & Houses Public Co., Ltd. NVDR",LH.R,0.0%
"Bumrungrad Hospital Public Co., Ltd. NVDR",BH.R,0.0%
Energy Absolute Public Co. Ltd. NVDR,EA.R,0.0%
Bangkok Dusit Medical Services Public Co. Ltd. NVDR,BDMS.R,0.0%
"Bangkok Life Assurance Public Co., Ltd. NVDR",BLA.R,0.0%
True Corporation Public Company Limited NVDR,TRUE.R,0.0%
HANWHA CORP Pfd Registered Shs 3 Non-Voting,00088K,0.0%
MIRAE ASSET SECURITIES CO. LTD. Cum Pfd Registered Shs,00680K,0.0%
Samsung Fire & Marine Insurance Co Ltd Pfd  Non-Voting,000815,0.0%
Embotelladora Andina SA Pfd  B,ANDINA.B,0.0%
"LG H&H Co., Ltd. Pfd Registered Shs Non-Voting",051905,0.0%
Hyundai Engineering and Construction Co Ltd Pfd Registered Shs Non-Voting,000725,0.0%
CJ CheilJedang Corp Pfd Shs Non-voting,097955,0.0%
Alpargatas SA Pfd,ALPA4,0.0%
Bradespar SA Pfd,BRAP4,0.0%
Grupo Aval Acciones y Valores SA Pfd,PFAVAL,0.0%
AMOREPACIFIC CORP Pfd Registered Non-Voting,090435,0.0%
Sixt SE Pref,SIX3,0.0%
Usinas Siderurgicas de Minas Gerais SA-Usiminas Pfd  A,USIM5,0.0%
Metalurgica Gerdau SA Pfd,GOAU4,0.0%
Surgutneftegas PJSC Pfd,SNGSP,0.0%
Unipar Carbocloro SA Pfd Class B,UNIP6,0.0%
Compania de Transmissao de Energia Eletrica Paulista Pfd,TRPL4,0.0%
Braskem S.A. Pfd  A,BRKM5,0.0%
LG Electronics Inc. Pfd Registered Shs Non-voting,066575,0.0%
Bancolombia SA Bancolombia Pfd,PFBCOLOM,0.0%
Samsung SDI Co Ltd Pfd  Non-Voting,006405,0.0%
Zhongsheng Group Holdings Ltd.,881,0.0%
Sun Tv Network Limited,532733,0.0%
"Shanghai Zhenhua Heavy Industries Co., Ltd. Class B",900947,0.0%
"Lianhe Chemical Technology Co., Ltd. Class A",002250,0.0%
Piraeus Port Authority S.A.,PPA,0.0%
"Shenzhen Transsion Holding Co., Ltd. Class A",688036,0.0%
Pepco Group BV,PCO,0.0%
PT Bukit Asam Tbk,PTBA,0.0%
Med Life SA,M,0.0%
S-1 Corporation,012750,0.0%
"Shanghai International Airport Co., Ltd. Class A",600009,0.0%
"Shanghai Electric Power Co., Ltd. Class A",600021,0.0%
"Fuyao Glass Industry Group Co., Ltd. Class A",600660,0.0%
"Pan Ocean Co., Ltd.",028670,0.0%
"Newland Digital Technology Co., Ltd. Class A",000997,0.0%
"Guizhou Panjiang Refined Coal Co., Ltd. Class A",600395,0.0%
"Aica Kogyo Company, Limited",4206,0.0%
"CSG Holding Co., Ltd. Class A",000012,0.0%
BORUSAN BIRLESIK BORU FABRIKALARI SANAYI VE TICARET ANONIM SIRKETI,BRSAN.E,0.0%
Beijing Wantai Biological Pharmacy Enterprise Co. Ltd. Class A,603392,0.0%
"Inner Mongolia Junzheng Energy & Chemical Group Co., Ltd. Class A",601216,0.0%
Tibet Summit Resources Co. Ltd. Class A,600338,0.0%
"Intco Medical Technology Co., Ltd. Class A",300677,0.0%
Suzhou Nanomicro Technology Co. Ltd. Class A,688690,0.0%
Hutchison Telecommunications Hong Kong Holdings Limited,215,0.0%
"Jinneng Holding Shanxi Electric Power Co., Ltd. Class A",000767,0.0%
Srisawad Corporation Public Company Ltd,SAWAD,0.0%
Sunac Services Holdings Ltd.,1516,0.0%
"Jiangsu Hengli Hydraulic Co., Ltd. Class A",601100,0.0%
Digital China Information Service Group Company Ltd. Class A,000555,0.0%
HELLA GmbH & Co. KGaA,HLE,0.0%
Wuhan Guide Infrared Co. Ltd. Class A,002414,0.0%
"Menicon Co., Ltd.",7780,0.0%
Huali Industrial Group Co. Ltd. Class A,300979,0.0%
Singapore Post Ltd.,S08,0.0%
"Ourpalm Co., Ltd. Class A",300315,0.0%
China World Trade Center Company Ltd. Class A,600007,0.0%
"YTO Express Group Co.,Ltd. Class A",600233,0.0%
Harmonic Drive Systems Inc.,6324,0.0%
"Sangfor Technologies, Inc. Class A",300454,0.0%
"Triangle Tyre Co., Ltd. Class A",601163,0.0%
Aegean Airlines SA,AEGN,0.0%
"Sanan Optoelectronics Co., Ltd. Class A",600703,0.0%
"Anhui Zhongding Sealing Parts Co., Ltd. Class A",000887,0.0%
Uni-President China Holdings Ltd.,220,0.0%
"North Industries Group Red Arrow Co., Ltd. Class A",000519,0.0%
"Zhejiang Supor Co., Ltd. Class A",002032,0.0%
Ulker Biskuvi Sanayi A.S.,ULKER.E,0.0%
"Jiangsu Nhwa Pharmaceutical Co., Ltd. Class A",002262,0.0%
Johnson Electric Holdings Limited,179,0.0%
"Fuji Kyuko Co., Ltd.",9010,0.0%
CJ Logistics Corp,000120,0.0%
"China TransInfo Technology Co., Ltd. Class A",002373,0.0%
Osotspa Public Co. Ltd.,OSP,0.0%
Shandong Hi-speed Co. Ltd. Class A,600350,0.0%
"Transcend Information, Inc.",2451,0.0%
"Fushun Special Steel Co., Ltd. Class A",600399,0.0%
Country Garden Holdings Co. Ltd.,2007,0.0%
"Wen\'s Foodstuff Group Co., Ltd. Class A",300498,0.0%
Bank of East Asia Ltd.,23,0.0%
"Baoshan Iron & Steel Co., Ltd. Class A",600019,0.0%
Colbun S.A.,COLBUN,0.0%
"Zhaojin Mining Industry Co., Ltd. Class H",1818,0.0%
"Hebei Yangyuan Zhihui Beverage Co., Ltd. Class A",603156,0.0%
"Ningbo Deye Technology Co., Ltd. Class A",605117,0.0%
"SDIC Capital Co., Ltd. Class A",600061,0.0%
Kardemir Karabiik Demir celik Sanayi ve Ticaret A.S. Class A,KRDMA.E,0.0%
"Datang International Power Generation Co., Ltd. Class A",601991,0.0%
PT Sarana Menara Nusantara Tbk,TOWR,0.0%
"GRG Banking Equipment Co., Ltd. Class A",002152,0.0%
PT Bank Danamon Indonesia Tbk Class A,BDMN,0.0%
Godrej Industries Limited,500164,0.0%
"China Rare Earth Resources And Technology Co., Ltd. Class A",000831,0.0%
Hang Lung Group Limited,10,0.0%
"Sieyuan Electric Co., Ltd. Class A",002028,0.0%
LianChuang Electronic Technology Co Ltd Class A,002036,0.0%
"Fujian Funeng Co., Ltd. Class A",600483,0.0%
"Shenzhen MTC Co., Ltd. Class A",002429,0.0%
Guangshen Railway Company Limited Class H,525,0.0%
"Shenzhen Aisidi Co., Ltd. Class A",002416,0.0%
Alibaba Pictures Group Limited,1060,0.0%
Star Entertainment Group Limited,SGR,0.0%
Dubai Financial Market (DFM) - PJSC,DFM,0.0%
"Shanghai RAAS Blood Products Co., Ltd. Class A",002252,0.0%
LS Corp.,006260,0.0%
China National Software & Service Company Limited Class A,600536,0.0%
"Yintai Gold Co., Ltd. Class A",000975,0.0%
"Japan Steel Works, Ltd.",5631,0.0%
"Anhui Xinhua Media Co., Ltd Class A",601801,0.0%
"Allwinner Technology Co., Ltd. Class A",300458,0.0%
"Hubei Xingfa Chemicals Group Co., Ltd. Class A",600141,0.0%
Honeywell Automation India Limited,517174,0.0%
"Anhui Gujing Distillery Co., Ltd. Class A",000596,0.0%
Telecom Egypt,ETEL,0.0%
MMG Ltd.,1208,0.0%
"Montage Technology Co., Ltd. Class A",688008,0.0%
OCI Holdings Company Ltd.,010060,0.0%
"Unisplendour Co., Ltd. Class A",000938,0.0%
"Leyard Optoelectronic Co., Ltd. Class A",300296,0.0%
Federal Hydro-Generating Company - RusHydro PJSC,HYDR,0.0%
Tangshan Port Group Co. Ltd. Class A,601000,0.0%
Fresnillo PLC,FRES,0.0%
Sodexo SA Loyalty Bonus 2026,Other,0.0%
"Shandong Buchang Pharmaceuticals Co., Ltd. Class A",603858,0.0%
"Baoji Titanium Industry Co., Ltd. Class A",600456,0.0%
Icelandair Group hf,ICEAIR,0.0%
"Huaan Securities Co., Ltd. Class A",600909,0.0%
"China Film Co., Ltd. Class A",600977,0.0%
"Keda Industrial Group Co., Ltd. Class A",600499,0.0%
"Yunnan Botanee Bio-Technology Group Co., Ltd. Class A",300957,0.0%
Amot Investments Ltd.,AMOT,0.0%
Sinopec Oilfield Service Corporation Class A,600871,0.0%
"Hithink RoyalFlush Information Network Co., Ltd. Class A",300033,0.0%
"Oppein Home Group, Inc. Class A",603833,0.0%
Alpha Group Class A,002292,0.0%
"Gotion High-tech Co., Ltd Class A",002074,0.0%
"Zhejiang Century Huatong Group Co., Ltd. Class A",002602,0.0%
"Zhejiang Construction Investment Group Co., Ltd Class A",002761,0.0%
Dana Gas PJSC,DANA,0.0%
Guangdong Golden Dragon Development Inc. Class A,000712,0.0%
Chongqing Changan Automobile Company Limited Class B,200625,0.0%
"Luxi Chemical Group Co., Ltd. Class A",000830,0.0%
Hindustan Zinc Limited,500188,0.0%
"Xinjiang Tianshan Cement Co., Ltd. Class A",000877,0.0%
"Songcheng Performance Development Co., Ltd. Class A",300144,0.0%
Hagar hf.,HAGA,0.0%
Nexteer Automotive Group Limited,1316,0.0%
"Changjiang Securities Co., Ltd Class A",000783,0.0%
"Bestore Co., Ltd. Class A",603719,0.0%
Dexco SA,DXCO3,0.0%
"Gungho Online Entertainment, Inc.",3765,0.0%
"Luoyang Xinqianglian Slewing Bearing Co., Ltd. Class A",300850,0.0%
"Zhongji Innolight Co., Ltd. Class A",300308,0.0%
Green Cross Corporation,006280,0.0%
"Piotech, Inc. Class A",688072,0.0%
"Jiangsu Phoenix Publishing & Media Corp., Ltd. Class A",601928,0.0%
"Zhejiang Sanhua Intelligent Controls Co., Ltd. Class A",002050,0.0%
NEC Networks & System Integration Corporation,1973,0.0%
"China Grand Automotive Services Group Co., Ltd. Class A",600297,0.0%
Toshiba Tec Corp.,6588,0.0%
"Tongkun Group Co., Ltd. Class A",601233,0.0%
"Tongling Nonferrous Metals Group Co., Ltd. Class A",000630,0.0%
"Beijing Shiji Information Technology Co., Ltd. Class A",002153,0.0%
"GMO Internet Group, Inc.",9449,0.0%
"OFILM Group Co., Ltd. Class A",002456,0.0%
PT Tower Bersama Infrastructure Tbk,TBIG,0.0%
"Guangdong Xinbao Electrical Appliances Holdings Co., Ltd. Class A",002705,0.0%
"YONFER Agricultural Technology Co., Ltd. Class A",000902,0.0%
Gen Ilac ve Saglik Urunleri Sanayi ve Ticaret A.S.,GENIL.E,0.0%
"Jinduicheng Molybdenum Co., Ltd. Class A",601958,0.0%
MicroPort Scientific Corp.,853,0.0%
"Sinomine Resource Group Co., Ltd. Class A",002738,0.0%
